,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-0.5884727,-0.092701115,-0.046939142,0.65382886,2.7873273,0.70545506,-0.081906885,-0.45406318,-0.16986512,-0.1899908,2.0770743,1.2520818,-0.046352845,1.5624778,2.1090612,0.99988085
1,-0.57373345,-0.08665298,-0.06352138,0.80746174,2.7174659,0.60058665,-0.10599178,-0.4404996,-0.09424305,-0.15935898,2.1000965,1.1762867,-0.023271365,1.5000201,1.7635555,0.8429228
2,-0.74941176,-0.11988056,-0.075659804,0.9551295,3.4440517,1.085716,-0.11671253,-0.5718899,-0.1804645,-0.21091294,2.6628625,1.5456936,-0.05637386,1.9313798,2.485188,1.2636704
3,-0.74085605,-0.11216092,-0.031764116,1.1248056,3.5648472,0.718944,-0.16455452,-0.53606194,-0.1353021,-0.17564408,2.9973435,1.7119063,0.022530261,1.9099075,2.2496507,0.83045167
4,-0.8772259,-0.18128401,-0.037312314,1.1703439,3.8320532,1.1695236,-0.08331072,-0.72633076,-0.2589084,-0.2440466,3.0488276,1.6474038,-0.08505747,2.2514937,3.4047422,1.53473
5,-0.60747826,-0.10198442,-0.03980614,0.8186779,3.002693,0.71416354,-0.13696723,-0.43429118,-0.1365959,-0.17041992,2.4536579,1.3839054,-0.0007068778,1.6232488,1.9221382,0.86715925
6,-0.71664345,-0.11770972,-0.05366524,0.83391994,3.3727343,0.87982905,-0.10010152,-0.55596924,-0.20168824,-0.22630373,2.5499103,1.5100429,-0.0538594,1.8931665,2.5684423,1.2132821
7,-0.9081859,-0.19234131,0.22366631,1.2310413,4.269352,1.0113201,-0.13474141,-0.70697737,-0.2820985,-0.26406696,3.4947827,2.0244715,-0.016866725,2.3831003,3.501972,1.335877
8,-0.6083332,-0.11038255,-0.0151498495,0.58869004,2.576386,0.8616005,-0.018760862,-0.48942232,-0.23262691,-0.18426803,1.859362,1.0170102,-0.103754714,1.5992519,2.3833156,0.96894324
9,-0.7238743,-0.123962514,-0.06283927,1.0358047,3.3888433,0.9070345,-0.12533046,-0.56179744,-0.15520224,-0.19501045,2.7016585,1.4527825,-0.038490094,1.8636571,2.369398,1.1373794
10,-0.3607825,-0.088441126,0.2760213,0.6167142,2.0552874,0.15912955,-0.16150159,-0.23118794,-0.044025596,-0.09312829,2.039474,1.2561615,0.5074,0.98195267,1.2582592,0.2713507
11,-0.53168404,-0.08755123,-0.023816807,0.78595877,2.4287562,0.59963286,-0.09997718,-0.4043107,-0.098106265,-0.13616048,2.0017705,1.1588619,-0.0062345946,1.3610675,1.6834972,0.7156779
12,-0.68819565,-0.16813824,0.27015254,1.1219163,3.4385064,0.53628117,-0.18197326,-0.5213072,-0.13824795,-0.18945153,3.1667788,1.7206101,0.41056037,1.8771566,2.449066,0.85592073
13,-0.47454268,-0.08726125,-0.0043223496,0.46901798,2.3895473,0.44371337,-0.075737335,-0.3620255,-0.16893661,-0.16835843,1.8279896,1.0362155,-0.016749429,1.334319,1.8050827,0.8259186
14,-0.6019406,-0.1293474,-0.017637258,0.7804618,2.7378395,0.6862303,-0.06295917,-0.49505424,-0.16889982,-0.19352987,2.1132681,1.1677758,-0.039893843,1.586803,2.3558292,1.0468953
15,-0.74700046,-0.12929738,-0.05261723,1.0105559,3.4527268,0.939404,-0.10821172,-0.5881469,-0.18424937,-0.21454392,2.6227307,1.4889389,-0.050310995,1.9341786,2.5420804,1.2259811
16,-0.49331188,-0.0615708,-0.056361794,0.5139942,2.4253554,0.61897993,-0.0911256,-0.35694763,-0.13796407,-0.15346543,1.7991052,1.0877573,-0.034644585,1.3315564,1.5709223,0.7948449
17,-0.2905022,-0.0363045,-0.02140581,0.37291783,1.5313075,0.18747577,-0.067220636,-0.20025782,-0.059908833,-0.08674947,1.1632453,0.69035906,0.0056925383,0.77241606,0.861284,0.3414686
18,-0.40819892,-0.05911618,-0.043994974,0.48266774,1.9390401,0.54334676,-0.070812814,-0.3039397,-0.111468054,-0.11907854,1.4137528,0.84617776,-0.030073587,1.087107,1.2862284,0.68109447
19,-0.30450344,-0.058149993,-0.014811142,0.2212383,1.1783185,0.47688398,-0.007786885,-0.26333293,-0.14111896,-0.098249204,0.95275193,0.39658323,-0.06087699,0.8478843,1.2219393,0.46550247
20,-0.63609654,-0.11593107,-0.04004161,0.93298763,3.0024385,0.78337336,-0.118176654,-0.4824941,-0.14298628,-0.16568096,2.4082012,1.2984412,-0.023789274,1.6478391,2.091903,0.9786525
21,-0.51841086,-0.044719066,-0.05778414,0.368932,2.4580972,0.6389313,-0.06386091,-0.37217638,-0.17496125,-0.16235065,1.7592266,1.0932854,-0.06469099,1.4237632,1.7124575,0.78591233
22,-0.38022617,-0.053910226,-0.026130417,0.50004363,1.9419312,0.3106741,-0.08005177,-0.27150342,-0.08246859,-0.112435915,1.4929622,0.87145853,-0.004191983,1.0035226,1.1813568,0.49264282
23,-0.60719675,-0.12665783,-0.008059816,0.8478348,2.95904,0.67329997,-0.10613252,-0.47984964,-0.1733424,-0.17671378,2.3574936,1.2777715,-0.013389138,1.621524,2.2018063,0.94018453
24,-0.69269556,-0.14029543,-0.008097989,0.79173225,2.9375784,0.8918524,-0.018447576,-0.5654757,-0.24801353,-0.21437784,2.2477808,1.2209955,-0.09852189,1.7536339,2.8792574,1.1498393
25,-0.87019104,-0.15240292,-0.06853209,1.068766,3.8574305,1.2088946,-0.09500142,-0.6903977,-0.2346286,-0.25230628,2.979654,1.7642288,-0.08799467,2.227274,3.212351,1.5022547
26,-0.59156007,-0.1450098,0.18630703,1.0033911,3.0501368,0.3593835,-0.13375196,-0.44520026,-0.13847362,-0.16660488,2.624754,1.4496771,0.22498292,1.5777229,2.1648023,0.6340455
